EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	12:13:21	0	0.0200	0.008609690496343232
2	12:13:46	0	0.0200	0.002069053243723742
3	12:14:11	0	0.0200	0.001381442616405409
4	12:14:37	0	0.0200	0.0011389956864517271
5	12:15:02	0	0.0200	0.0009700544169727003
6	12:15:27	0	0.0200	0.0008265049983941329
7	12:15:53	0	0.0200	0.000786881662841465
8	12:16:18	0	0.0200	0.0006658274370572707
9	12:16:44	1	0.0200	0.0006696455223323678
10	12:17:09	0	0.0200	0.0005805418247778324
